marker	chr	pos	cM	bp
1_3000000	1	3	1.44955432941694	3e+06
1_3041392	1	3.041392	1.46955432941694	3041392
1_3346528	1	3.3465275	1.47955432941694	3346528
1_3651663	1	3.651663	1.48955432941694	3651663
1_3657931	1	3.657931	1.50955432941694	3657931
1_3664199	1	3.664199	1.52955432941694	3664199
1_4092175	1	4.092175	1.53955432941694	4092175
1_4520151	1	4.520151	1.54955432941694	4520151
1_4522808	1	4.522808	1.56955432941694	4522808
1_4525465	1	4.525465	1.58955432941694	4525465
1_4528122	1	4.528122	1.60955432941694	4528122
1_4530778	1	4.530778	1.62955432941694	4530778
1_4533435	1	4.533435	1.64955432941694	4533435
1_4536092	1	4.536092	1.66955432941694	4536092
1_4538749	1	4.538749	1.68955432941694	4538749
1_4541406	1	4.541406	1.70955432941694	4541406
1_4543933	1	4.543933	1.72955432941694	4543933
1_4546318	1	4.546318	1.74955432941694	4546318
1_4548703	1	4.548703	1.76955432941694	4548703
1_4900245	1	4.900245	1.78955432941694	4900245
1_4997286	1	4.997286	1.80955432941694	4997286
1_5011104	1	5.011104	1.82955432941694	5011104
1_5024922	1	5.024922	1.84955432941694	5024922
1_5105097	1	5.105097	1.86955432941694	5105097
1_5312828	1	5.312828	1.88955432941694	5312828
1_5488203	1	5.488203	1.90955432941694	5488203
1_5632546	1	5.632546	1.92955432941694	5632546
1_5945478	1	5.945478	1.94955432941694	5945478
1_6273359	1	6.273359	1.96955432941694	6273359
1_6328407	1	6.328407	1.98955432941694	6328407
1_6376491	1	6.376491	2.00955432941694	6376491
1_6424575	1	6.424575	2.02955432941694	6424575
1_6596695	1	6.596695	2.04955432941694	6596695
1_6664673	1	6.664673	2.06955432941694	6664673
1_6669047	1	6.669047	2.08955432941694	6669047
1_6673421	1	6.673421	2.10955432941694	6673421
1_6815977	1	6.815977	2.12955432941694	6815977
1_6817632	1	6.817632	2.14955432941694	6817632
1_6819287	1	6.819287	2.16955432941694	6819287
1_6826221	1	6.826221	2.18955432941694	6826221
1_6831232	1	6.831232	2.20955432941694	6831232
1_6836243	1	6.836243	2.22955432941694	6836243
1_7070795	1	7.070795	2.24955432941694	7070795
1_7511318	1	7.511318	2.26955432941694	7511318
1_7533252	1	7.533252	2.28955432941694	7533252
1_7555186	1	7.555186	2.30955432941694	7555186
1_8020536	1	8.020536	2.3162209960836	8020536
1_8485886	1	8.485886	2.32288766275027	8485886
1_8951236	1	8.951236	2.32955432941694	8951236
1_8987664	1	8.987664	2.34955432941694	8987664
1_9024093	1	9.024093	2.36955432941694	9024093
1_9386562	1	9.3865615	2.37955432941694	9386562
1_9749030	1	9.74903	2.38955432941694	9749030
1_9822456	1	9.822456	2.40955432941694	9822456
1_9831915	1	9.831915	2.42955432941694	9831915
1_9841374	1	9.841374	2.44955432941694	9841374
1_9902809	1	9.902809	2.46955432941694	9902809
